Depth_km,Vp_km_per_s,Vs_km_per_s
0.0,4.802437782287598,2.7759757041931152
3.0,4.924610137939453,2.846595525741577
6.0,5.446047782897949,3.1480045318603516
9.0,5.745539665222168,3.3211212158203125
12.0,5.858415126800537,3.386367082595825
15.0,5.971290588378906,3.451613187789917
